activity,subproduct,origin,unit,factor_value,factor_year,factor_unit,source_file,source_sheet,factor_basis,is_temporal_fallback,fallback_reason,temporal_type,factor_version,source_row
Cartón,,Reutilizado,kg,0,,kgCO2e/kg,"CATEGORÍA MATERIALES Y PRODUCTOS_CARTÓN_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx","CARTÓN_REGISTRO PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,781
Papel,,Reutilizado,kg,0,,kgCO2e/kg,"CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx","PAPEL_REGISTRO PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,786
"Metal para estructuras (perfiles, rieles)",,Reutilizado,kg,0,,kgCO2e/kg,"CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx","METAL_REGISTRO PARA CÁLCULOS","Regla explícita: reutilizado = 0",FALSE,"Regla metodológica no anual",RULE,,791
"Placas de yeso",,Reutilizado,kg,0,,kgCO2e/kg,"CATEGORÍA MATERIALES Y PRODUCTOS_PLACAS DE YESO_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx","PLACA YESO_REGIST PARA CÁLCULOS","Regla explícita: reutilizado = 0",FALSE,"Regla metodológica no anual",RULE,,796
"Fibras textiles",Seda,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,801
"Fibras textiles","Lana alpaca",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,806
"Fibras textiles","Lana cachemir",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,811
"Fibras textiles","Lana mohair",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,816
"Fibras textiles","Lana oveja",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,821
"Fibras textiles","Cuero oveja",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,826
"Fibras textiles","Cuero vaca",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,831
"Fibras textiles","Cuero vaca ternero",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,836
"Fibras textiles","Perlas cultivadas con ostras",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,841
"Fibras textiles","Hierba de elefante",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,846
"Fibras textiles","Plumón pato",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,851
"Fibras textiles","Plumón de ganso",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,856
"Fibras textiles","Resina poliuretano",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,861
"Fibras textiles",Bambú,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,866
"Fibras textiles","Madera de bambú",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,871
"Fibras textiles",Algodón,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,876
"Fibras textiles",Cáñamo,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,881
"Fibras textiles",Yute,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,886
"Fibras textiles",Lino,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,891
"Fibras textiles","Polibutileno tereftalato (PBT)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,896
"Fibras textiles","Teraftalato de Polietileno (PET)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,901
"Fibras textiles","Polietileno (PE)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,906
"Fibras textiles",Poliacrilamida,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,911
"Fibras textiles","Policarbonato (PC)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,916
"Fibras textiles","Polioximetileno (POM)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,921
"Fibras textiles","Polipropileno (PP)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,926
"Fibras textiles","Poliestireno (PES)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,931
"Fibras textiles","Politetrafluoroetileno (PTFE)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,936
"Fibras textiles","Poliuretano (PU)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,941
"Fibras textiles","Poliuretano termoplástico (PU)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,946
"Fibras textiles","Coloruro de polivinilo (PVC)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,951
"Fibras textiles","Carbono de silicio",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,956
"Fibras textiles","Caucho natural",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,961
"Fibras textiles",Acetal,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,966
"Fibras textiles","Caucho sintético ABS",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,971
"Fibras textiles","Caucho sintético neopreno",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,976
"Fibras textiles","Caucho sintético SBR",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,981
"Fibras textiles","Caucho sintético TPR",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,986
"Fibras textiles",Acrílico,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,991
"Fibras textiles",Aramida,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,996
"Fibras textiles","Elastano, licra o Spandex",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1001
"Fibras textiles",Vidrio,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1006
"Fibras textiles","Nylon Poliamida 6",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1011
"Fibras textiles","Nylon Poliamida 66",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1016
"Fibras textiles","Nylon Poliamida 12",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1021
"Fibras textiles","Conchas marinas",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1026
"Fibras textiles",Corcho,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_FIBRAS TEXTILES_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","FIBRAS TEXTIL_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1031
"Loneta, loneta",Acrílica,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1036
"Loneta, loneta",Algodón,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1041
"Loneta, loneta",PVC,Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1046
"Loneta, loneta","Polietileno (PE)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1051
"Loneta, loneta","Polipropileno (PP)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1056
"Loneta, loneta","Poliéster (PET)",Reutilizado,kg,0,,kgCO2e/kg,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_LONA LONETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","LONA O LONETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1061
Moqueta,Estándar,Reutilizado,m²,0,,kgCO2e/m²,"FE_ CATEGORÍA MATERIALES Y PRODUCTOS_MOQUETA_REGISTRO PARA CÁLCULO_FACTORES DE EMISIÓN.xlsx","MOQUETA_REG PARA CÁLCULOS","Regla explícita: reutilizado = 0 de cuna a puerta",FALSE,"Regla metodológica no anual",RULE,,1066
